Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,499945,0,22.136951000000007,2.5931460643024087,325070.04999999999,37234.47181661264,14.843019000000004,1.3800341927175923,118809.22,16205.015869318007,7.2025690000000022,0.87644396488009835,113188.38,16114.619812224091,7.013697999999998,0.87425016494425112,67.050873446844591,32.536409372727071,31.683215994831428
15,749880,0,30.335318999999998,2.3058693297316237,452534.08000000002,56811.880348754639,19.949474000000006,1.8908752311353625,157827.44,17535.78057026504,8.6797759999999986,0.79943719194357354,146257.95000000001,16997.144372978022,8.4137609999999992,0.78670870212486521,65.763191743591051,28.612773117698215,27.73585799443876
20,999790,0,40.519014999999996,1.7289020456081601,583817.48999999999,51178.555848887307,25.651621999999989,1.6399675628462529,201882.82000000001,20339.269540025725,10.338436000000002,0.83600121000830685,183332.23999999999,18396.968995039493,10.028347999999999,0.86133114310163394,63.307614955595518,25.515023008333255,24.749732934031098
30,1499535,0,59.517212000000043,2.1328975035530013,822588.82999999996,72182.169036187799,36.076208000000008,2.1578007249563669,285382.77000000002,25724.61567435032,13.456773999999998,1.067682478016112,251164.60000000001,23370.200587392268,12.776661000000001,1.0235561067255432,60.614747881671576,22.609886363628707,21.467169866760546
50,2498725,0,100.74753000000001,5.8353416070210988,1228802.2,95602.726344960858,54.802909999999997,3.174119452350443,444258.29999999999,20551.699361417908,19.460485000000002,0.79030489737555687,372113.65000000002,19074.467109270227,17.796849999999999,0.8015305375539844,54.39628147707441,19.316091421794656,17.664800318181495
70,3497515,0,144.75466000000003,2.596585072420273,1584715.95,94126.562985820769,72.936599999999999,3.5568296902245904,618720.84999999998,32111.980566817801,26.311375000000005,1.4928750185199875,493361.25,23311.282768278361,23.248525000000008,1.1484579060521476,50.386357164598351,18.17653055176255,16.060640120324972
100,4994950,0,205.67567999999997,3.4301107179614032,2029579.95,110439.91444671336,96.494625000000013,3.1263590156290841,875319.19999999995,47368.821057515743,36.127414999999999,2.1924549346085711,671946.5,36248.6689606812,30.662185000000001,1.7132563547617676,46.915913928180537,17.565234256184301,14.90802655909537
150,7488675,0,312.13893500000006,4.1798166939503894,2680230.5499999998,152206.66263218882,132.560675,5.5439338787994199,1289580.05,56635.416062533834,52.490685000000006,2.4728516037105184,918364.34999999998,39713.096540952989,41.85587000000001,1.5833031029764131,42.468484426654427,16.816449059775255,13.409371695331762
200,9979900,0,420.23638,12.145231210900105,3207096.2999999998,264411.59121005522,163.53080999999997,8.7829194072548162,1730724,88161.999313133143,69.04670999999999,3.2325529173119865,1165191.3,62375.799929940775,53.249120000000005,2.0129864600747922,38.914005969687821,16.430445645852934,12.671230415605617
300,14954850,0,626.74659999999994,5.5483110012567618,4130221,222681.82290933002,217.90886,7.5210622748828939,2525054,83100.896379708865,99.831270000000004,3.9269943884321736,1580755.2,55823.450243304258,71.894360000000006,1.4672874051573306,34.768255623564613,15.928490078765487,11.471041087418746
500,24874750,0,1038.93255,3.8999289034117348,5669533.0999999996,229885.6963794785,310.17484999999999,7.6402068643096603,4314212,90874.698756034399,168.96609999999998,3.8993396896853625,2385297.2000000002,113639.82625216487,111.35481,3.9850021900035788,29.855147959316511,16.263433078499656,10.71819436208828
700,34754650,0,1471.85752,10.81275370916733,6680515.0999999996,150151.62369747751,384.19889000000001,4.1803922852739177,5971441.5,134408.50149885114,234.53206,5.8587943077432314,3017500.7999999998,90163.601161444298,143.27581999999998,2.4295674685013449,26.102994670299339,15.934426859469385,9.7343539067558655
1000,49499500,0,2143.7269799999999,7.8892967106355192,8410837.6999999993,320027.74870246282,501.68779000000006,11.003213832679368,8682115.0999999996,265342.57017232565,348.83202,12.957500877767036,4112841.2000000002,185864.43567037422,202.18501000000001,5.2553873011838448,23.402597190804592,16.272222314429236,9.4314720058241743
