Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_DistanceCalculations_Count_Avg,DP_DistanceCalculations_Count_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_DistanceCalculations_Count_Avg,TICORDP_DistanceCalculations_Count_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,499945,0,15.055433999999998,1.5433250943048618,320239.78999999998,50089.937610503599,9.9360409999999977,1.0591796247062768,120868.39999999999,19331.320215461936,5.3107890000000024,0.53575954483124033,549945,0,28.681132000000002,2.5958123878479835,115208.21000000001,19562.489341034303,5.4258569999999997,0.63396836891030128,160574.04999999999,21771.385890276557,11.246299999999998,1.3503216104007045,65.99637712204111,35.274898086631062,190.503521851313,36.039193556293363,74.699274693775024
15,749880,0,20.121203000000005,1.6316556050917341,466491.29999999999,57112.538244392286,13.471979999999995,1.2172570789120989,158394.37,15135.117370916365,6.1549029999999973,0.54857411043301507,799880,0,41.226359999999985,2.9999752370358461,148020.88,14886.882160146935,6.2860789999999982,0.5281139875992491,194775.73999999999,16244.855874280991,13.342521999999999,1.1291368043534207,66.954147821082017,30.589140221884325,204.89013504808821,31.241069433075136,66.310756866773801
20,999790,0,25.001883999999997,1.413164900177948,607146.90000000002,50764.479533161044,16.900366999999999,1.0979335048267778,200841.92999999999,18775.385723757016,7.0441169999999991,0.59574827832082089,1049790,0,53.923079000000008,2.7455927433217053,184210.94,18536.545055711547,7.2289590000000024,0.62251965237649287,231732.22,19238.978239726945,15.414254000000001,1.1894144598316292,67.596373937260097,28.174344781377275,215.67606265191861,28.913657066803459,61.652369877406052
30,1499535,0,35.004339000000002,1.4520923502016467,849869.02000000002,75808.994660887998,23.408214999999995,1.4949699804002687,287256.20000000001,29596.638830458534,8.8595710000000008,0.8108962471833,1549535,0,79.521761999999967,2.9222785365546664,255732.20000000001,27259.11086353895,9.0944899999999969,0.80382041319356068,304161.13,27187.055682807968,19.691534999999998,1.7646565439930728,66.872324028172599,25.309922292776335,227.17687084449719,25.981036236679106,56.254554613929429
50,2498725,0,55.633720000000004,1.264086461733074,1291050.75,85009.322079451347,35.893780000000007,1.8321340064181124,448903.20000000001,24415.199471252588,12.27017,0.72172032278147014,2548725,0,133.45007499999997,2.5658992382634698,385807.20000000001,24688.880244907188,12.424795,0.59594817990457793,434785.34999999998,24497.077935896119,27.08888,1.387383770608323,64.518029712915123,22.055275110131049,239.87264378510002,22.333209068169445,48.691477039464552
70,3497515,0,75.542594999999992,2.6754413399769938,1650465.25,80273.800214853487,47.261780000000002,2.0995557514062733,608446.59999999998,34535.991114381402,15.490120000000001,1.0149561046251159,3547515,0,185.96761999999998,5.302647856704283,498356,27097.25596711535,15.450434999999999,0.83940766350601792,547140.80000000005,27033.216177607563,33.82555,1.787291478157589,62.563087752015939,20.50514679830631,246.17584291352449,20.452613522212204,44.77679116000715
100,4994950,0,111.72002500000001,4.0326265630120677,2178242.2000000002,135234.56616817589,64.896570000000011,2.9572385454748331,886138.05000000005,52196.788654470627,21.971755000000002,1.3790155510267765,5044950,0,268.31381999999996,4.2391620505894743,696825.25,41059.885436909164,21.109775000000003,1.0737366352945608,746268.84999999998,41089.252868506934,45.603749999999998,2.2220363231907232,58.088574541582858,19.666801005459856,240.16627278771193,18.895247293401521,40.819674002042156
150,7488675,0,163.92250499999997,4.0761880220404834,2930807.6000000001,183455.21770216126,90.804430000000011,3.4285924239516929,1279131.95,57571.57005755623,29.876120000000004,1.2226329916252572,7538675,0,399.16396999999995,4.1568781888512678,958557.30000000005,43856.092291301531,28.142579999999999,1.2687437556392875,1007985.6,43844.500336146106,61.604710000000011,2.5007162285401772,55.394730577110217,18.225758568050196,243.50772946033251,17.168222264538969,37.581606015598666
200,9979900,0,218.68495000000001,5.0558068994968561,3468334.2999999998,150308.47752838163,112.55839999999998,2.8221198001974814,1708544.5,43055.814799577951,39.424060000000004,1.2338157823957703,10029900,0,535.22448000000009,4.4889300308400859,1196705,50533.326904133275,35.749309999999994,1.0982741425122933,1246253.8999999999,50477.423297615605,76.388690000000025,2.5459941077220809,51.470574449682054,18.027788377755307,244.74682871409308,16.347402964858805,34.930931460989896
300,14954850,0,320.81603999999999,4.758900173406083,4588282.9000000004,173648.61337863377,154.54860000000002,3.0747514497561887,2567185.3999999999,119638.39448215054,57.2241,2.567757737361096,15004850,0,788.68018000000006,6.2120121356037972,1702217.7,70530.723549780465,50.074070000000006,2.1223183288564429,1751666.7,70577.525576174434,107.15463,4.3298597873243976,48.173588826793086,17.837044556749721,245.83564462674627,15.608343647655527,33.400646052485406
