Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,499945,0,16.879447999999996,1.314675354439915,327867.47999999998,43878.016309101957,11.216238000000001,1.0508971678186658,123825.16,18605.788277541131,5.8982230000000007,0.63253740494738786,118444.94,18548.993373988862,5.9343009999999996,0.69128829438851747,66.449080562350161,34.943222076930489,35.156961293994925
15,749880,0,22.739913999999999,1.2659078151143852,466811.65000000002,48611.555697808231,14.863273999999995,1.1979588819961791,165001.89999999999,17550.431723660495,6.9123960000000011,0.55146317695689706,154102.26999999999,17450.146305343082,6.9048559999999988,0.59720219311267253,65.362050181896009,30.397634749190352,30.364477191954194
20,999790,0,28.583844999999993,1.983920400884434,590714.66000000003,52307.165687185399,18.371144999999995,1.3164267348996619,205868.07000000001,20406.573674094885,7.8206939999999987,0.63392568516117964,188084.70000000001,20691.852275617079,7.7459720000000036,0.5986480885758807,64.271076896757592,27.360538793853664,27.099125397580366
30,1499535,0,40.654763999999993,2.1890424462810674,872766.76000000001,68966.93802239043,26.083535999999999,1.7048440325902499,285485.44,21964.75581164176,9.8419169999999969,2.1061001643880459,257071.95000000001,21163.014124548954,9.6775990000000025,0.72334126618956773,64.158621115104751,24.208520802137723,23.804341847858232
50,2498725,0,65.204210000000018,2.8802543144111774,1353712.45,92442.948673321865,40.814505000000011,2.4318869023380092,458558.09999999998,29011.160886622129,14.036940000000001,1.1203617636610437,398216.45000000001,27051.134727585828,13.967034999999999,1.1761242309404494,62.594892262324784,21.527659026924791,21.420449691822039
70,3497515,0,90.86986499999999,3.6074261600605868,1711919.3999999999,107235.85415502549,52.835519999999995,2.7160785566501442,622896.34999999998,39920.380170738805,17.821955000000003,1.301894550857569,519969.5,35679.922988617625,17.695035000000001,1.3536945963877798,58.144160333021297,19.612613048341167,19.472940781853261
100,4994950,0,125.55246999999997,4.2199814639278612,2262378.1499999999,104815.02824865235,69.775724999999994,2.2947576734523456,869701.44999999995,39547.874372947284,22.927289999999999,1.0026137976624689,700359.09999999998,37124.743197268828,22.555169999999997,1.0953220228724854,55.574952049927816,18.261122222446126,17.964736177631554
150,7488675,0,193.78750500000001,2.4473834671413552,3060943.2000000002,155919.31807613294,100.58446000000001,3.9763826362530481,1274002.05,48706.06509133723,33.718564999999998,1.5012190366761768,972493.75,37373.230688450058,31.321214999999995,1.3478975895328325,51.904512625826932,17.399762177649173,16.162659713277176
200,9979900,0,261.83960999999999,2.5985632566435206,3841368.8999999999,123896.59371198763,130.03172999999998,2.23440818714437,1688158.2,45281.31817820188,43.655720000000009,1.288752106841687,1239526.5,22808.651064648449,40.82591,4.4960327478666011,49.660832446244477,16.672695166327209,15.591953409951993
300,14954850,0,387.35014999999999,4.1388008403535377,4919196,173734.61739356635,175.68535000000003,7.7512113718867601,2579807.3999999999,87995.395584339785,64.833219999999997,2.5398959496623301,1768253.6000000001,56263.489883069124,56.166239999999995,1.267305076135971,45.355694324631095,16.737626150396483,14.500120885457253
500,24874750,0,639.42475000000002,3.5358919541844851,6929064.2000000002,281933.46842268377,263.72230999999999,7.200030437350792,4288347.7000000002,122700.53095696947,107.70466000000002,3.2249928417491631,2703890.8999999999,140006.75488422374,88.834329999999994,3.6997170931032008,41.243681918787161,16.843992979627394,13.892851348028049
700,34754650,0,895.29022999999995,20.764002648657236,8381768.9000000004,214944.04177493372,329.9864,5.0888181963551835,5954349.2000000002,167821.40510991638,149.85722000000004,4.7712520867285031,3521224.7000000002,103706.84354794421,116.76909000000001,2.1926880390414776,36.858036527439822,16.738395548000121,13.04259625395443
1000,49499500,0,1310.9626499999999,13.541663811630436,10749589.6,505229.48727378668,436.32018000000005,12.660808916828517,8673739.6999999993,113651.53416577064,225.50547999999998,4.4547705190428566,4905604.2999999998,203362.50684761055,168.97109,5.4381729586016938,33.28242646729867,17.201518288869632,12.889084978889368
