Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,434945,0,17.895311000000003,1.4270586167128325,212025.66,39155.4994780833,11.135222999999998,1.0824901169544414,166834.51999999999,30090.282115451737,9.7316819999999993,1.1461410550436475,125679.25,24141.615050781107,9.1588819999999984,1.090336163654924,62.224249693117919,54.3811839872467,51.180345510620057
15,652380,0,24.286825000000007,1.5952658815391971,274649.73999999999,43120.375627948255,13.406929999999997,1.1156664435360253,235893.09,28148.916074398585,11.920777000000005,1.0255866112339924,157176.10999999999,19715.214552892026,10.546898000000001,0.82531348007893357,55.202481180640092,49.083307513435791,43.426417409439061
20,869790,0,30.910793000000009,1.6219890668499612,329640.19,51759.938564061827,15.644943999999995,1.2428968193293402,313449.14000000001,28984.059655987079,14.122886000000005,0.9373899542168489,189598.51999999999,28462.405219488806,11.996480000000004,0.84998419795174829,50.613208143835038,45.689174004691502,38.81000400086792
30,1304535,0,44.514546999999993,1.7564411707639243,423741.47999999998,63246.138289822506,19.906763999999995,1.7034760703711904,461660.27000000002,33146.160891048188,18.424628000000002,1.1748608900313486,240044.54999999999,37443.824225009863,14.290044,0.94307120518253773,44.719682309695301,41.390128040615586,32.101964330896152
50,2173725,0,72.32174999999998,3.0901316777427903,534773.5,73849.050618919864,26.125350000000005,2.1274787802763901,771838.30000000005,55605.001126933857,27.775085000000001,1.8441510037141753,303137.95000000001,47180.283012108266,17.934464999999996,1.25032168082963,36.123780190606574,38.40488511409086,24.798162378537576
70,3042515,0,100.82823500000002,4.0975259394541963,637990,87544.171962681663,32.190995000000001,2.0970755249494721,1104078.8500000001,64080.123564401365,37.289289999999994,1.8568901829331974,385473.95000000001,65120.677971929043,22.195774999999998,2.1288916607066501,31.92656798961124,36.9829839826116,22.01345188676564
100,4344950,0,146.95627999999996,6.9752182629951482,733747.90000000002,61949.908784521438,39.792124999999999,1.8458169145323391,1633037,111791.68494970785,53.279680000000006,3.8846030150894575,466183.95000000001,69552.248646138032,27.328030000000002,2.1893223251187011,27.077526050604988,36.255463189460173,18.596027335476926
150,6513675,0,222.61853000000002,6.9470488950799529,823354.75,92029.099843401942,49.891980000000004,2.840578461770364,2451854.4500000002,66223.061017868356,79.999535000000009,3.1413203401176482,557900.94999999995,80686.32701196392,34.126169999999988,2.3926624511970807,22.411422804741367,35.935703555315001,15.329438209838141
200,8679900,0,297.82847999999996,4.7333268607467476,917255.30000000005,115473.52539295652,58.703869999999995,3.0565125461145337,3159305.7000000002,64976.318805905481,102.92486999999998,2.2286062560612963,630167.69999999995,87528.795916988252,39.488230000000001,2.1539448399261389,19.710630091521136,34.558437796143608,13.258715217564152
300,13004850,0,441.51139999999998,4.5963827673992155,976869.40000000002,46406.857431969162,73.525170000000017,2.043673541036664,4678291.0999999996,121154.56096101193,150.91942,4.828466056120833,675260.5,48043.565341492118,48.300330000000002,2.6067083240703743,16.653062638926201,34.182451461049482,10.939769618632726
500,21624750,0,719.81939,4.3366221413163881,1232617.6000000001,52778.397331989276,105.99326999999998,1.8867566021261644,7963468.2999999998,206758.74004154376,252.70993999999996,6.8790236763980195,934248,50122.356296034872,71.830089999999998,2.2213989648417525,14.724981220636467,35.107409373898633,9.9789045693809388
700,30204650,0,993.64388999999994,6.5420364645286222,1492463,80365.718260683483,139.77654999999999,2.8015047239534208,11393084.800000001,274031.06793687143,356.06153999999998,8.8106162199927915,1218983.2,71291.542672481301,95.487550000000013,2.2770020354502214,14.067066824111402,35.833918326614977,9.6098361758154631
1000,42999500,0,1404.3313199999998,7.316672794196367,1819251.5,76334.053903804233,187.43606,2.7662227612556634,16362999,327299.25120361097,508.89597999999995,11.905752527786255,1545357,70410.417546774363,128.2336,2.3067914161834753,13.346997060494244,36.237600967270318,9.1312924645161377
