Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,999945,0,97.908496,9.3258443720069089,615961.13,68755.535992891499,67.211379000000036,7.169645185172814,303925.03999999998,76262.371144783116,35.768523000000002,8.1010824955413625,299678.72999999998,75755.752318957369,35.553697999999997,8.03889439998669,68.647136608042715,36.532603871271803,36.313189817561891
15,1499880,0,151.04648699999998,8.5604477185100798,808880.79000000004,85320.757425035306,89.252315999999993,8.5139445434435572,456623.27000000002,104589.52948298323,51.621145999999989,10.815116574110517,444299.60999999999,103760.03398906547,50.922159999999991,10.909993953798471,59.089302752205022,34.175668051121235,33.712905881750167
20,1999790,0,204.87729300000021,9.7918654879337907,952476.57999999996,126256.33982963137,107.073059,12.51024941027524,663175.15000000002,153432.52142757658,73.052886999999984,15.915277894517844,629184.76000000001,142729.03352553651,69.870633999999995,14.814596080116873,52.262043017134104,35.656897809558579,34.103649544022389
30,2999535,0,313.24891300000002,8.8077689659588643,1126616.71,149149.85779398368,131.88978099999997,14.918439338777594,922402.84999999998,175753.65647924869,100.57655899999997,18.531981753224272,816644.75,145843.67332828106,90.295777999999984,15.251981759159479,42.103827188699604,32.107552437061443,28.825567863981696
50,4998725,0,537.23376499999995,10.551434378383917,1437559.5,199309.53752115011,180.14043499999997,20.887570412096505,1316733.25,137281.49107116985,143.71682000000001,14.754912529609284,1042372.25,151495.15602430643,116.479555,15.956573424222549,33.531108194586388,26.751263483969595,21.681354112208492
70,6997515,0,763.27370999999971,8.73370611589616,1523997.3500000001,157331.13274648506,202.37189500000002,16.021134043127795,1458641.8999999999,174252.24406103141,160.31635499999999,18.308154266580807,986645.09999999998,158926.56006963851,112.40322999999998,16.488272649821212,26.513672926059527,21.003783164495481,14.726464245702898
100,9994950,0,1080.0552849999999,12.385777186769067,1894949.5,274141.89909578231,260.19385999999997,29.455536707175945,1846950,212180.29832544227,201.88146499999999,22.382104659497738,1094218.1000000001,266933.24791571317,125.63272000000002,27.394704509998007,24.090790870950649,18.691771412423577,11.632063816066603
150,14988675,0,1605.2451999999998,24.590787656805649,2429868.8500000001,263450.54458000773,348.03143,27.313810511247151,2363256,232066.16190601652,255.92603999999997,23.746184081733617,1173363.8,254663.62917563488,136.29099000000002,25.112591680415289,21.680889000633673,15.943111993108591,8.4903533740515176
200,19979900,0,2152.6349999999998,20.403717414726163,3013364.7000000002,257493.95369947795,444.82616999999999,27.894237767086913,2933057.5,161102.06023942988,318.39292000000006,16.737450750988874,1307156.3,251617.45781644629,157.16675000000001,27.6055685497711,20.664263565351302,14.790845638020384,7.301133262257653
300,29954850,0,3194.7616600000001,30.412852865202318,3861775.7000000002,181266.45343866947,595.80476999999996,20.539310923584257,3632972.2000000002,181087.95165750568,395.50075000000004,20.410643121298261,1255334.3999999999,183594.75536517918,160.63328999999996,20.89400331064979,18.649427826174676,12.37966371488257,5.0280210887468817
500,49874750,0,5342.4709800000001,35.780983665374279,5956524.7000000002,186260.33578304079,941.9486099999998,21.450626001714834,5455591,283986.74701628048,591.35607000000005,32.386111119670836,1518427,167519.8488405346,199.61918999999997,17.181775460738109,17.631328528058749,11.068961763457255,3.736458106132754
700,69754650,0,7860.6667799999996,43.265234348936993,8050051.5,182296.31307861264,1302.4783299999999,20.796561612068363,7138712.2000000002,401985.53607583669,787.88874999999996,45.22155932178687,1808773.8999999999,193862.37991847604,243.06748999999996,21.092624546638206,16.569565489201413,10.023179611233948,3.092199387187355
1000,99499500,0,11984.962150000001,52.557073745136044,11160719.300000001,166888.48408180304,1875.0434600000001,22.389227310134878,9386425.5999999996,197220.25398027568,1089.5533700000001,22.656098732720476,2191036.2000000002,171990.1325281967,305.25088999999997,18.477105634478225,15.644967723156306,9.0910038460154841,2.5469491365894714
