Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_DistanceCalculations_Count_Avg,DP_DistanceCalculations_Count_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_DistanceCalculations_Count_Avg,TICORDP_DistanceCalculations_Count_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,999945,0,65.828544999999977,5.6879269638183922,637554.23999999999,68997.963605160054,46.262318999999998,4.3368327219668288,325727.15000000002,90187.469910380896,26.785587,6.17492867398638,1016540.58,83794.726192284928,192.54722100000015,15.803970328832092,321611.38,89914.57705031462,26.906364000000004,6.2699999156077526,414029.15999999997,92186.041361002834,83.541804000000027,18.15363116944782,70.27698850096111,40.689927143308438,292.49806599857283,40.873399222176353,126.90817334638045
15,1499880,0,93.014730999999998,5.2838870407812806,820879.42000000004,111255.88270872046,58.287041000000002,6.4011426349952982,472407.90000000002,135897.26405623366,35.394354,8.7480169731031641,1506612.48,78848.13962928734,279.94341099999997,14.761433926521146,458008.19,130826.20401843292,35.228061000000004,8.5902499587801415,552178.96999999997,132149.88285937512,109.30070400000004,25.750839932995028,62.664311742190598,38.052417740153437,300.96674794447341,37.87363638131685,117.50902553274067
20,1999790,0,121.58102699999996,4.8919975473216475,964151.82999999996,115702.50879027968,68.660498999999973,6.6455300042869263,621343.28000000003,169562.00367334305,44.24351699999999,10.308592353729225,2010921.1499999999,80943.067832076791,372.98844600000007,15.398053608039056,589594.76000000001,155818.04114726934,43.574907999999986,9.8534432641249463,685362.91000000003,155944.10989372883,135.03945300000004,29.816161215115351,56.473037524185408,36.390149097852252,306.78178594428238,35.840220365962196,111.0695116928072
30,2999535,0,177.75351600000005,6.2166596263461642,1113418.1899999999,168429.60644802405,81.489498999999981,9.2790601065250158,910427.34999999998,205954.44591022885,61.121159000000013,11.962165444679227,2990132.2799999998,105233.57896757503,553.00466799999992,19.615153257956134,804917.77000000002,180744.66346620646,57.125753999999986,10.970238517718764,901388.65000000002,181652.73288990505,176.37980699999997,34.24849652800453,45.844099646388969,34.385344591439754,311.10758337967269,32.137622526690258,99.227183219261846
50,4998725,0,296.62748500000004,8.2397871441129809,1303116.2,169630.11569560773,102.345305,9.8429132681696689,1207833.6499999999,174665.86848647395,79.063405000000017,9.7222347005784417,5000376.5999999996,138019.0508358214,938.42195500000003,25.154147820200553,942036.69999999995,167196.60837126043,66.989349999999973,9.5617372936148612,1040108.3,168203.03137079996,205.49639499999998,31.44564572226135,34.502974328221804,26.654106243728563,316.36379042892804,22.583662468095284,69.277597455272883
70,6997515,0,409.2560400000001,9.1459801016851703,1576086.3,221145.9105342229,127.70416,12.534212471782563,1455510.3999999999,213716.87637432848,93.374139999999997,12.370906639641934,6934016.2000000002,137392.69767908641,1303.1253249999997,26.818709008880859,1033207.75,219473.40322136026,73.381730000000005,13.114780060804039,1130904.95,219945.56805443214,222.04701999999997,41.545280534155552,31.203976855173593,22.81558019278102,318.41321755446774,17.930518508657805,54.256259724352489
100,9994950,0,586.17873499999985,6.5073055281029228,1778636.8999999999,119643.07046681106,154.25322,7.2113928515633505,1586525.8,121816.63134382715,102.09965000000003,7.3215485430265863,9990238.25,112359.78831736773,1878.49019,19.158005201011932,962468.44999999995,119342.76440196378,72.203784999999996,7.1755247893373451,1061431.7,119262.5019164823,212.22130500000003,23.177388871108953,26.315048770917976,17.417835875605423,320.46372170085641,12.31770801102159,36.204197172045156
150,14988675,0,870.50248500000021,8.6992515225690994,2416886.3500000001,239892.44142790217,212.09900999999999,13.196001867028949,2121938.25,240976.84324648182,133.24920500000002,15.41772668809903,15003941.35,62445.301500614376,2812.7503750000001,15.444903933213217,1137922.55,247815.15703325821,83.492530000000002,14.630644426397772,1237361.3999999999,247832.67095199536,246.13799,46.66728704321239,24.365124012253673,15.307159634357619,323.11801786527923,9.5913028898475794,28.275391999598938
200,19979900,0,1160.1364099999998,11.555052059159623,2998583.2000000002,154169.4603767051,266.97486999999995,9.6663070015906243,2588791.2000000002,186320.19215604806,158.69676999999999,11.23977117837962,19950657,134363.0167791718,3730.2670499999999,26.087145853008025,1263287.8,166442.68561600015,93.67728000000001,9.9372303267169109,1362644.8,166497.1671682935,271.64332999999999,30.455408463305456,23.012368864451034,13.679147437498319,321.53693460926723,8.0746780458342844,23.414774991847729
300,29954850,0,1739.1041300000002,18.640456201621134,4009684.8999999999,212123.47888773022,373.5942,18.242350123940842,3344787.7999999998,304714.3273631878,203.83130999999997,19.015861316540168,29989593.199999999,49069.421733793533,5621.84022,63.299554557390124,1347267.1000000001,217997.46828471299,101.55357000000001,13.822906038814303,1447050.3,218046.37892585553,289.15814,42.553207181107069,21.481991420490729,11.720477600153819,323.26070204893364,5.8394185976661435,16.626844535180304
