Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,999945,0,65.619996999999969,5.8760296100404155,630079.12,60276.090303606157,45.669299999999978,4.0029333878640507,275665.58000000002,102302.37632973494,23.066848999999994,6.9620618946798034,271417.48999999999,101867.43076001458,22.877655000000004,7.0328385066113768,69.596620066898197,35.152164057550941,34.863846458267922
15,1499880,0,93.372043000000062,5.7995514428648143,812916.5,96570.248110958695,57.821022999999997,5.6040242704875132,443937.26000000001,166919.87595048605,33.353860999999995,10.852099176656045,429214.21000000002,163526.07295161119,33.030599000000002,10.920835604971217,61.925412727661914,35.721464293118203,35.375255739022421
20,1999790,0,122.19856299999998,5.8333232723143542,954513.42000000004,130694.96292320748,68.155508000000026,7.4136932542844152,612190.38,190855.89886548734,43.897933000000002,12.082674551956448,581985.87,182053.89996353394,43.090441999999996,12.002114578119096,55.774394008217627,35.92344453346805,35.262642163803513
30,2999535,0,181.15633999999997,5.2063938537148733,1112509.9099999999,168282.16790501005,81.708891000000008,9.4985340317515554,923246.78000000003,184671.58036912966,62.350445999999991,11.08257814070044,829308.47999999998,174291.960188394,58.740262999999999,10.898730251329438,45.104074745603725,34.418031408671652,32.425176507761201
50,4998725,0,305.34738500000009,6.3903107466056985,1361263.45,174631.19394989483,105.86386000000002,10.396114002453034,1251832.55,182369.97343644017,82.380025000000018,10.629236881449847,998249.84999999998,177122.91771602983,70.573094999999995,11.024816339297304,34.669974331039377,26.979115933807652,23.112395411540849
70,6997515,0,424.25131999999996,7.0263815146242008,1634331,271266.05535603059,131.09069000000002,14.82549031722764,1453353.8,265472.3224668777,94.297094999999999,15.46430387010084,1088921.3500000001,274146.28781580611,76.780225000000002,15.991237124351473,30.899300442954438,22.226706330577827,18.097816407501103
100,9994950,0,598.57304499999998,7.3383451584611876,1748587.6499999999,149156.95181896043,151.44906,9.0832195037940835,1542302.25,160851.2596131741,99.322805000000002,9.8657253539970391,932286.69999999995,150524.6293321776,68.315149999999988,9.3422559096600946,25.30168394067929,16.593263901484239,11.413001399018892
150,14988675,0,896.80547500000034,5.4063335379977397,2424277.3500000001,190330.6982254211,215.43854000000002,11.051105571099161,2083013.3,240593.99741869138,131.87715500000002,14.163444209152066,1138486.5,184946.17635309897,83.501525000000001,11.011836598137432,24.022884115420901,14.705212967171054,9.3109963451104001
200,19979900,0,1190.9626299999998,8.9776427198098681,3041867.7000000002,334548.85130842833,274.68353999999994,19.929382453954769,2529549,315951.63271087344,158.80651,18.948764851593889,1307648.2,338059.58911470033,96.155139999999989,21.222571804315642,23.063993200189664,13.334298323029667,8.0737327585165293
300,29954850,0,1779.1667600000001,6.6905437670059733,3844317.6000000001,153535.37407255697,366.64974999999998,9.7597591442560088,3174830.7999999998,107900.73285900847,196.21103999999997,7.4111097008627702,1169387.7,146195.70297838593,91.842800000000025,8.5856840691674403,20.607947396679105,11.028254597112637,5.1621243193639712
500,49874750,0,2992.2155700000003,12.814712962411553,5982371.5999999996,235937.95442173161,589.20778000000007,13.593484757109854,4647120.0999999996,267800.37822288868,287.06668000000002,15.973854276132327,1468054.8999999999,233699.89339580602,118.74102999999999,14.913526648951949,19.69135465731167,9.5937833783813904,3.9683313993316323
700,69754650,0,4608.2588400000004,65.072926497433983,8001440.9000000004,227031.36913526582,821.43399999999997,14.621434349915498,5865317.7000000002,370622.07699729502,385.20596,21.261985413575818,1633740,231675.46489096433,137.71015,14.25277801882457,17.825257402424899,8.3590347976200032,2.9883336587924818
1000,99499500,0,7380.001760000001,157.66702644324147,11326683.6,142058.2845628277,1215.0068699999999,32.186360725591321,8082433.7000000002,260204.61960842795,566.03886999999997,32.293046171997723,2204072.6000000001,136034.21186206554,187.14569999999998,8.6015120309035105,16.463503797321586,7.6699015583974584,2.5358489887406197
