Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,5810065,0,184.470552,16.362038291108259,4349818.6500000004,479952.51300275954,137.80150199999997,13.980160244482539,985677.89000000001,188088.72844473558,42.490339999999996,6.5433821130030063,980827.19999999995,187620.58270990435,43.110831000000019,7.0372137917249207,74.701083997406784,23.033670978552717,23.37003415049141
15,8715060,0,271.42813700000005,14.918238786276845,6444847.1699999999,488527.02352052071,205.83195500000008,13.663255046219971,1290960.3899999999,253286.0170684554,52.080037000000004,8.7590294846553416,1279872.6399999999,252085.37250759581,52.682849000000012,8.7687808568496894,75.832946898942922,19.187412762590636,19.409501749628856
20,11620030,0,356.86972900000001,16.358580232047714,8125905.3600000003,616680.34475250728,266.62323200000009,16.341612086481131,1617219.5800000001,326306.48350069521,62.187291000000023,10.768596657135021,1595204.6100000001,323026.29327753512,63.225760000000001,10.94679211660852,74.711641345181192,17.42576798941667,17.716761849531935
30,17429895,0,539.99602200000004,19.673799046974207,11419266.449999999,695558.35612714081,390.50283899999988,20.193002761237178,2200132.2000000002,447635.80933503329,81.00082900000001,14.331491393581549,2152328.3700000001,438949.55333466298,81.610136999999995,14.557153573052158,72.31587328248871,15.000264020463471,15.113099666500874
50,29049325,0,951.46795499999985,18.798110679071062,17258338.949999999,512488.69626655901,638.57842000000005,15.262371457162915,3610049.3500000001,798409.33941169456,124.67488,24.663258131855294,3476899.75,779088.01561088918,125.00822500000001,25.333880482881433,67.115073780913633,13.103423961346129,13.138458772371374
70,40668355,0,1382.2028299999997,32.842433893958777,21650874.199999999,673096.83675644826,849.8051499999998,24.954610804808674,4516942.0499999998,806393.63196234289,152.62685500000003,26.596764675950126,4284149.9000000004,783921.74489663122,152.63020999999998,26.638807742304717,61.481942559761656,11.042290732395626,11.042533460881424
100,58096150,0,1995.8735600000005,59.952332684764087,28207470.350000001,1249641.4769299265,1155.3569199999999,37.701350749857632,6045399.25,930123.81069759652,200.53514999999999,28.705219018269865,5650501.3499999996,888618.56139452255,196.62924499999997,28.077936798892562,57.887280194242351,10.047487677526023,9.8517886573937048
150,87140475,0,2965.6316349999997,28.941728806404235,37664459.649999999,1677939.1919540772,1604.6618700000001,47.243754126134299,8836781.0999999996,794266.44448943215,283.619775,21.851475751509678,7914887.9000000004,746567.99686332373,274.24272500000001,22.257101587958626,54.108603747747658,9.563553735155649,9.2473630832441547
200,116182300,0,4075.2591100000004,34.753772618057909,45699525.399999999,1778380.3406785126,2022.3071500000001,54.765189183991126,11638680.4,1653289.2559972815,378.85625999999996,51.368134002494408,10265055.199999999,1574265.8698580605,360.42800999999997,53.797862761998068,49.624013968525297,9.2964950147672916,8.8442967740522391
300,174258450,0,6426.1049300000004,34.424187961052709,58823047.299999997,4271312.4904435026,2777.5127400000001,133.23695341955576,16673740.300000001,3484276.7350450237,541.95523000000003,102.06564953299041,14041412.699999999,3398401.0685992725,500.75454000000002,106.41322851608253,43.222337174005659,8.4336504912937986,7.7925048758891027
500,290380750,0,11068.70492,74.341962258886838,82224161.400000006,2994608.4813438081,4231.5594199999996,104.68082962993115,28333716.199999999,2763766.3692714209,940.30844000000002,87.654155000131695,22638954.5,2420265.8475320549,844.69143000000008,81.86030543351886,38.229941538634854,8.4951983705063849,7.6313483474812891
700,406463050,0,15896.468359999995,157.9101381322948,99322211.400000006,5518457.6549472027,5398.0290799999993,178.98826716761681,40889569,4363031.121570034,1396.8001100000001,152.97527510238342,29360942.699999999,3750033.5373725523,1167.0763099999999,137.80671576720499,33.957410902555978,8.7868580515326506,7.3417332930167909
1000,580511500,0,24877.257140000005,259.7746249642438,119359095,4329268.1479691742,6915.82978,167.90705491517096,57535054.100000001,3892351.2503192849,2015.7976900000001,152.70948141978209,37890848.5,2586820.9858444761,1582.7700399999999,110.82344515858648,27.799808238827403,8.1029740483680968,6.362317320968125
