Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_DistanceCalculations_Count_Avg,DP_DistanceCalculations_Count_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_DistanceCalculations_Count_Avg,TICORDP_DistanceCalculations_Count_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,5810065,0,128.40225299999992,10.241093009694973,4410991.0599999996,453563.52374960441,91.100154999999972,8.1274315411348343,990433.81999999995,222604.3456284588,31.527407999999987,4.9437209655060261,6391077,0,163.71060800000001,13.061180577455664,986108.44999999995,222647.89246929262,32.487737999999986,5.5236722817632105,1514908.25,229607.51833554928,54.13128600000001,8.202707712528575,70.949031556323263,24.553625238959015,127.49823634325179,25.301532676377576,42.157582702228787
15,8715060,0,176.34594399999997,10.852819064498002,6450832.8099999996,508290.3153947306,128.74534900000003,8.4339059153268288,1258507.7,222778.98044599174,37.708535000000012,5.2319919605275835,9296072,0,241.22392200000013,12.391360503471194,1247602.8700000001,221480.96237942952,38.747570999999986,5.5729668545649718,1795819.04,226822.7030556534,64.123162000000022,8.3549753531215583,73.007264062733441,21.383273209844859,136.7901730702693,21.972476440966506,36.362141677610701
20,11620030,0,219.868257,10.923097851034925,8342317.2800000003,523727.13634834508,163.52863599999995,8.6589955510809897,1542456.3100000001,308694.26441736106,43.496713999999983,7.0688072936923092,12201042,0,315.43833500000005,15.021135243876319,1521189.53,305412.55708106875,45.263639000000012,7.7526815316437405,2076073.21,313662.39269256068,73.486198000000044,11.467209726340352,74.375736739478469,19.783080374353439,143.4669739524974,20.586709340220953,33.422831927939484
30,17429895,0,305.52407999999997,9.6537140680191413,11688888.73,713693.16317548626,232.52340800000005,18.006452011261818,2144624.8100000001,355180.1466675775,55.146543000000008,7.7485630351796546,18010907,0,465.6324390000002,14.452394375648337,2097045.54,346811.27521441237,57.695036000000009,8.6142909040442195,2659353,347154.88963183697,92.499658999999994,12.468632597171654,76.106409681358045,18.049818855521966,152.40449754402346,18.883957035399636,30.275734403651587
50,29049325,0,476.96997999999996,14.444033851116885,17668761.75,981108.5527649927,364.54202999999995,13.175002643966579,3383212.5499999998,664605.62459230982,78.453904999999992,13.97749225446603,29630337,0,777.61834999999996,23.17738308931678,3271788.7000000002,646057.96457496553,82.450365000000005,14.514258892959997,3839659.4500000002,646069.77909604146,130.45962000000003,22.706347630670194,76.42871570240122,16.448394718678102,163.03297536670965,17.286279736095761,27.351746539687895
70,40668355,0,640.92141000000015,15.887277537335192,22656888.199999999,1444978.5203163184,484.75408499999992,19.771074650936946,4898707.4500000002,1118218.6686053039,103.74287499999998,23.61101863283049,41249367,0,1085.0059349999999,26.598905638593777,4677760.0499999998,1100745.7089562642,109.63643499999998,25.534221764944043,5247475.9500000002,1100391.4397187782,172.87506500000001,38.861006352766566,75.633935368144407,16.186520434697282,169.28845223004794,17.106065313062324,26.972895943669592
100,58096150,0,888.20101,10.082249259747739,29715203.399999999,1177139.1086816061,663.91119000000003,15.722679498465689,6255025.0999999996,945967.5571692331,122.50231999999998,18.511789433325717,58677162,0,1576.0770499999999,19.287037146105753,5863929.2999999998,926893.50404575665,129.25481500000001,19.174828915294547,6439845.9500000002,927259.50965102576,205.58293499999999,29.896614467726415,74.747853529236593,13.792184271440986,177.44598714203218,14.552428284223637,23.145992031691115
150,87140475,0,1304.9836449999998,13.958182468527594,38596519.950000003,1894802.4935829472,936.57024500000011,22.915204159097755,8548727.4000000004,1325723.588789053,156.63101499999999,25.196748622000609,87721487,0,2400.543815,29.471239080755087,7749543.0499999998,1225962.9010163262,164.33696499999999,26.318032996513111,8326954.8499999996,1226160.4146925807,263.14749500000005,41.697827063194545,71.768734312375258,12.002527050827522,183.95202301558348,12.59302870420265,20.164811720686362
200,116182300,0,1707.1268400000001,9.507281913261119,47448092.899999999,1580989.2412814375,1191.3221900000001,21.411495762243142,12058418.800000001,1563510.9565815011,208.01209,25.758091971928614,116763312,0,3212.8130499999997,29.449567903159085,10691784,1408276.7071557115,218.59318999999999,25.78412554397892,11268898.6,1409865.1225537064,349.61259999999999,42.168607579151164,69.785218185662174,12.184922943394175,188.20001974780033,12.804742147923816,20.479591311445844
300,174258450,0,2519.9185100000004,17.960406938377254,60832058.200000003,2547236.9466454694,1651.3318400000001,31.187268710278396,16869043.100000001,1964762.6494724185,274.99891999999994,30.765550885177475,174839462,0,4826.9505799999988,28.493522733959399,14208108.9,1742406.3115363987,287.42646999999999,32.67392545563068,14786921,1742492.4640536548,458.38280999999995,54.185181237256501,65.531160370737538,10.913008452801114,191.55185220652228,11.406181146707,18.190382275496674
