Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,5810065,0,134.83040199999996,10.933593243584543,4308623.6100000003,426553.33451823366,93.60730700000002,7.7631928384863826,1005385.5,148321.57046404004,32.155597000000014,3.9163223000500982,999009.52000000002,147767.80005269669,33.102772000000002,4.2605707596750442,69.425964479435464,23.848921699425048,24.551415340288024
15,8715060,0,181.96124899999998,12.283574067403713,6132154.0300000003,611175.65108379943,130.25221200000004,10.325521704316889,1365714.3600000001,270581.3908536082,40.361945999999989,6.6717023398984194,1349502.26,266902.44830250461,41.645778999999976,6.9243067389457167,71.582390600099728,22.181616262702171,22.887169234587954
20,11620030,0,230.55336,10.609945553587965,7911557.3799999999,588220.80164131487,167.43631300000004,9.8756468567953721,1674877.03,282225.83242028422,46.751409999999986,6.8329213992540438,1643500.73,275400.96755314636,48.469076000000022,7.1473549283735363,72.623670719871555,20.277913104367677,21.022931958137598
30,17429895,0,322.8744769999999,9.4300046108031541,11022230.130000001,682700.07898079022,238.72329300000001,10.159017450036817,2308923.9199999999,365712.47193537775,59.541344999999993,8.7419443753603208,2243714.5899999999,355051.22539021447,61.880118999999986,9.0801129526380695,73.936873306960123,18.441019418205673,19.16537955398686
50,29049325,0,514.33560499999999,10.196073862107557,16546374.949999999,809777.56942342711,383.083235,11.980796468571782,3561590.6499999999,543913.70367320464,82.450714999999988,12.723689097538331,3408104.5,528363.87531236967,86.384444999999999,13.101499399826643,74.481181406836498,16.030528355119415,16.795346104806413
70,40668355,0,702.47999000000004,22.494744511736858,20965059.449999999,882040.56744129141,507.87260000000003,13.540453479306478,4720923.75,774409.19119136943,103.88119500000001,15.437548394383127,4431737.2000000002,723460.81717624923,108.25323999999998,15.368308799960634,72.297091337790278,14.787779933774342,15.410152821577162
100,58096150,0,1012.6798699999999,37.738695839766677,26938680.300000001,1094320.3081124735,695.78635999999995,16.617327604211351,6523311.2000000002,787912.82551872788,132.76888000000002,16.189283086776555,5921297,714915.02949805895,138.16900000000001,16.38457550474001,68.707434660471733,13.110646704175135,13.643897157746409
150,87140475,0,1520.5661750000002,47.55247710580138,35632541.75,1350646.5110062887,988.14980500000001,21.065846380249937,10215869.15,1050956.4859597525,193.00031499999997,19.423563755676142,8931092.4000000004,893981.33007724152,200.06296,19.13704692822413,64.985649506507002,12.692661337149628,13.157136025336088
200,116182300,0,2053.90834,25.128271985784288,43574184.600000001,2358560.1861662315,1278.0826500000001,45.774123305889496,13110792.199999999,869128.56006830197,242.04109999999997,15.9231094917628,11133812.5,777251.50522369531,250.18971999999999,15.235457344905814,62.226859159644874,11.784415851780414,12.181153127797318
300,174258450,0,3083.9891899999998,17.256625815703984,55553622.700000003,2867596.2017257609,1763.7742800000001,45.21779669365197,19186046.300000001,1458079.668461459,339.77600999999999,24.948404879958417,15363350.9,1531329.1271532315,354.04120999999998,23.236380694814176,57.19132497996857,11.017418968320053,11.479975712885038
500,290380750,0,5035.4230899999993,21.977992108695588,74868866,2213060.3597187917,2606.1275599999999,40.817875581313132,30365223.399999999,3582158.5207609176,513.48487999999998,60.150528386924599,21710473.100000001,2945968.8992138412,521.58346999999992,63.980547728283959,51.755880557000033,10.19745254415156,10.358284908289603
700,406463050,0,7035.3783599999979,24.691100249244052,87559773.900000006,4372661.1063906932,3304.2174199999995,56.433351721316193,44220983.5,2144292.8789598295,732.97075000000007,35.159633604153719,29488073.899999999,2850097.0821026214,743.59259000000009,41.975741400651067,46.965738741022037,10.418355808229769,10.569333331491219
1000,580511500,0,10260.57028,106.81023066554162,105089203.40000001,5361678.5565969963,4331.2138199999999,95.955217680249106,62304231.100000001,4744128.6062868498,1042.9914899999999,74.196379021971879,36736447.5,3502258.9153514192,1010.4735699999999,87.063950310996475,42.212213374167348,10.16504406224875,9.8481228862066708
