Samples,Base_DistanceCalculations_Count_Avg,Base_DistanceCalculations_Count_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_DistanceCalculations_Count_Avg,TI_DistanceCalculations_Count_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_DistanceCalculations_Count_Avg,COR_DistanceCalculations_Count_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_DistanceCalculations_Count_Avg,DP_DistanceCalculations_Count_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_DistanceCalculations_Count_Avg,TICOR_DistanceCalculations_Count_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_DistanceCalculations_Count_Avg,TICORDP_DistanceCalculations_Count_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,44295,0,2.3739850000000002,0.25686220862005327,26319.009999999998,4552.9492084635085,1.8166340000000003,0.21214373068438028,32638.279999999999,3471.7370789059628,1.850560999999999,0.25532000000593424,44411.839999999997,4042.7953618477618,3.9156269999999993,0.36975075084235437,24345.880000000001,3772.5863707605804,1.7466860000000002,0.25327149246002656,28388.32,4017.8908680897225,2.9884410000000008,0.40049214650618475,76.522555955492564,77.951671977708315,164.93899498101291,73.576117793499122,125.88289311010813
15,66405,0,3.0387699999999995,0.27094341035751646,35658.440000000002,5177.5887319457606,2.2327259999999995,0.24554096641061457,51270.620000000003,3805.2818363613242,2.4604139999999992,0.25181808329575434,66632.960000000006,4141.4141583168284,5.4621959999999987,0.45043737956915986,33441.25,4714.7545634353382,2.2656019999999999,0.28504573688650692,37613.309999999998,4860.9642695870552,3.842257,0.43705198758213526,73.47466244566057,80.967430901318608,179.75022788825743,74.556547550489185,126.44119166636503
20,88490,0,3.6192810000000004,0.22911316893799027,44003.879999999997,5656.8865839645741,2.5866509999999998,0.22993857436017098,70744.509999999995,4089.8339115594194,3.0621799999999997,0.26743083690040786,89132.610000000001,4094.9854180004554,6.9320019999999998,0.40189032349283021,41473.110000000001,5382.8927296847505,2.689133,0.3058711652118925,45727.519999999997,5475.3692988867815,4.6072129999999998,0.50693743555459259,71.468642528723237,84.607412356211057,191.52980937374022,74.3001994042463,127.29636079652283
30,132585,0,4.8359579999999998,0.2562016950006617,61352.889999999999,6576.7440731671632,3.3227949999999997,0.27154587921786261,107799.5,4311.5390898416217,4.0331940000000008,0.26086323821984853,133437.95000000001,4356.8815703065384,9.8784880000000026,0.46758910959313504,57634.139999999999,6333.0503509666478,3.4466509999999992,0.29729929330048815,61953.589999999997,6386.0009333785029,5.9746859999999993,0.5515095836085907,68.710170766578202,83.400103971126327,204.27158383095971,71.271317906400341,123.54710276640118
50,220475,0,7.0887250000000011,0.54060222936530422,90430.399999999994,7775.1042463818621,4.4511799999999999,0.21327788544772433,180071.10000000001,5230.7412064086147,5.9088000000000003,0.30580160579248622,218841,5567.7475838883656,15.329210000000003,0.57165697379128555,85049.800000000003,7605.9608590548032,4.7139499999999996,0.37880979604406662,89365.800000000003,7662.7581306224874,8.2184050000000006,0.60515656562665865,62.792392143862251,83.354905148669175,216.24777375339008,66.499264677357345,115.93629319800104
70,307965,0,9.5210399999999993,0.35158022278369339,118488.2,7869.4288871891031,5.6715599999999995,0.27970512179417584,250788.85000000001,6452.169771928624,7.6174350000000004,0.27110421238646265,307390.95000000001,5789.6215990793671,21.244594999999997,0.61512847393643588,110911.2,7677.6442563012633,5.8920849999999989,0.42033474038399943,115275.64999999999,7694.1434205709866,10.341240000000001,0.54522371690314819,59.568702578709889,80.006333341735782,223.13313461554617,61.884888625612319,108.61460512717099
100,438450,0,13.069615000000002,0.25926765336028201,163310.25,8954.5672432093488,7.6205549999999986,0.38777385362171024,360584.95000000001,4360.4610629587032,10.555430000000001,0.32872798721579444,438314.75,4534.5187625474373,30.397894999999998,0.50696369170831779,153249.75,8578.9327202409659,7.8140849999999986,0.41312409538080741,157639.5,8585.3208473901304,13.975509999999996,0.72138483554020505,58.307417624773159,80.763128829732167,232.58447169254788,59.788180447549507,106.93130593364835
150,653925,0,19.371930000000003,0.67410740367111444,224314,13288.223519936344,10.566835000000001,0.41501990475410361,541576.19999999995,5894.502100307227,15.578664999999997,0.31259050946128053,654464.19999999995,3605.2753103137484,45.690289999999997,0.56664705333446519,210361.35000000001,12214.04833647671,10.82883,0.483525245735068,214770.54999999999,12222.09952019615,18.971099999999996,0.91406275841201945,54.547146309118396,80.41875538472415,235.85822372886949,55.899592864520976,97.930872143353781
200,866900,0,24.90522,0.68321565132996021,281788.29999999999,8652.8396629854033,13.3767,0.64572601861092072,717336.19999999995,8425.8265113874731,20.577620000000003,0.59305773899155712,865968.30000000005,6113.5802031215726,59.707509999999999,0.59811411109326706,264355.29999999999,8942.1599683745317,13.56634,0.66131130709287667,268763.59999999998,8931.0764213752209,23.794980000000002,0.85840825795965747,53.71042697073144,82.623723058860762,239.73893826274173,54.47187376782859,95.542139358736847
300,1285350,0,36.764110000000002,1.0046225564857685,406380.20000000001,14678.551985805683,18.991970000000002,0.69600669864273257,1061182.7,7097.8145314048761,29.292459999999998,0.54131444384120264,1286534.2,3072.2322250188777,88.593250000000012,0.63814463050662962,379884.5,14515.494772828104,19.016529999999999,0.7005267447507697,384308.70000000001,14508.96293904794,34.032950000000007,0.92532790974635293,51.658995689002126,79.676782601292388,240.97754576406174,51.725799971765937,92.571124392784171
500,2092250,0,59.346210000000006,0.75622358311987692,655208.59999999998,32188.975411535612,30.62903,1.0376832925640982,1718212.3999999999,23458.671607744542,47.023260000000008,1.2192081366380569,2093378.3999999999,2642.6134034322913,141.97803999999999,0.67115814695362708,614571.09999999998,32706.937019707471,29.478729999999995,0.80074811971194859,618999.5,32709.521414515784,53.93533,2.0826988234019814,51.610759979449405,79.235489511461651,239.23691167473035,49.672472766163153,90.882518024318657
700,2859150,0,81.428619999999995,1.1479275130038098,898409.30000000005,20792.345995849319,41.244129999999998,0.90338756546924215,2337870.1000000001,14301.167989985215,64.327809999999999,1.0651574056343882,2860009.8999999999,3036.7678157321589,193.27640000000002,1.2588187602316356,845802.30000000005,19860.052831137069,40.179800000000007,1.119056979981111,850232.19999999995,19861.562749301589,72.564040000000006,1.8327306428750885,50.650655752240425,78.999017790059568,237.35684087486689,49.343584602072355,89.113680177804824
1000,3934500,0,113.55889999999997,2.1360700971644135,1307153.8,20975.452090479481,58.638389999999994,1.0670165826577696,3173963.7000000002,26896.288682641702,88.535629999999998,1.1247606847187046,3936933,2584.5708863690829,266.08790999999997,2.7551258775235716,1236446.8999999999,20495.416378899074,56.954860000000011,1.3710743518213093,1240879.8999999999,20495.895548187742,104.24384000000001,1.5678578118637601,51.636983098638687,77.964501241206136,234.31709007396168,50.154466096448651,91.797155484951006
