Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,14.133130000000001,1.3317025858924831,7.1590370000000014,1.0240201689395327,6.2345129999999997,0.79111549127568193,5.6558580000000056,0.6439506037238909,50.654292432037359,44.112754924068476,40.018438944522586
15,19.504359000000008,1.6092260650710455,8.6399209999999993,0.99322066569653422,7.7625809999999991,0.65683148626761578,6.581955999999999,0.65658730489824069,44.297385010191803,39.799211037901813,33.746076966692399
20,25.710157999999996,1.4490071023506497,10.220822,1.1019632839196916,9.4234629999999999,0.73131311298460389,7.6314950000000001,0.64760348595823103,39.754022515147525,36.652684125861853,29.682800860266983
30,38.482607999999985,1.5379583630911531,12.691026000000001,1.0872085656283976,12.769445000000003,0.85772310704480048,8.9745959999999982,0.67869123949679577,32.978601658182853,33.182379427090822,23.321174074272726
50,65.879905000000008,1.9461706704178698,17.240205000000003,1.8397720263448549,19.999324999999999,1.3524186376441911,11.677469999999998,1.3806416399631007,26.169140650703731,30.357246265002956,17.725389859016946
70,96.414245000000022,2.9132707617086191,21.277135000000001,1.8253081153818791,27.686874999999997,2.0921352796340567,13.822820000000002,1.363165949506786,22.068455755682159,28.71658124792658,14.336906335780567
100,135.71401999999998,4.8609559137445801,24.708970000000001,1.5227766771678362,40.853145000000005,2.2231419244594961,16.33511,1.1240918874690289,18.20664512037887,30.102376305705196,12.036420408149432
150,208.62473999999997,6.2465913449614527,31.612715000000001,2.0418419997317181,61.201149999999998,2.9744283023447498,20.498844999999999,1.3901960314154111,15.152908039573834,29.335518884289566,9.825701879844166
200,277.16401999999994,3.7557684775999265,36.644999999999996,2.3881954782266521,80.070419999999984,1.944984591655619,22.880469999999999,0.72329180533631554,13.221413082405142,28.889182657979923,8.2552093161298519
300,416.8807599999999,1.717074696621484,45.035980000000002,2.7212759677932143,117.26344999999999,3.4338355597883048,29.40559,2.651117198654183,10.803084316004416,28.128774760437498,7.0537172307976048
500,685.73570999999993,6.660791930802568,63.959399999999995,2.6466593459176662,200.94647999999998,4.7906654538452837,43.647720000000007,3.3574300382551194,9.3271210857605773,29.303779440041119,6.3650936306058803
700,970.70830000000001,9.3462507395568295,78.512180000000001,2.4768902702111535,291.37847999999997,10.104820690893584,52.91413,2.2359106844863024,8.0881331703870263,30.017099884692442,5.451084532809702
1000,1429.78342,27.236140129483996,104.68205,4.1559541581927979,421.44326999999993,14.383197538026417,72.211110000000005,2.5584524825457393,7.3215319562175365,29.47602162011362,5.0504928921332723
