Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,61.704741999999989,5.6149724015832367,39.69053599999998,4.18114491206184,22.729638000000008,4.7585254445065397,22.772883,4.8699429902509062,64.323315702381493,36.836128412950842,36.906212167615912
15,87.294259999999994,6.6468810096894089,49.515817000000027,5.3880413280653672,31.256576999999979,7.4422974190709477,30.802608999999997,7.3366056725824293,56.722878457300659,35.805993429579424,35.285950072776835
20,115.721923,5.7634668433605283,58.220387999999986,6.6530133605921895,40.264926000000003,9.369024003335392,39.151229999999998,9.195683112260399,50.310594994174082,34.794553146165747,33.832163331748291
30,171.48995999999997,6.9479215152025242,67.305198999999959,8.7019514342322299,52.914100000000019,11.002735344890239,48.180397000000021,9.8344333394441534,39.247311621041817,30.855508975569197,28.095170702704714
50,292.06624500000004,7.0993548696138973,84.043900000000008,9.7472110885762167,72.277210000000011,9.9260110463633033,59.123374999999996,10.12992830872304,28.775629309713622,24.746854947239797,20.243138675611071
70,412.64717000000002,7.4982987265603676,100.17862,8.6454189681192304,82.195375000000013,9.2572662069985245,60.814715,8.59545543181334,24.277064592494355,19.919044882823265,14.737703156912477
100,585.41263500000014,7.9138530309215618,122.045965,10.179238263522112,92.133055000000013,10.859474020822603,61.698799999999991,10.447528108348733,20.847852899519321,15.738139133262814,10.539369380027129
150,876.50457499999993,7.6327484510306176,168.48027500000001,15.325988070177949,119.16533999999999,14.236340114073522,71.436164999999988,15.292895649090584,19.221836349228411,13.595518312040754,8.1501188969835088
200,1157.7013400000001,6.4654347101765612,205.29967000000002,10.837696148377455,138.30635000000001,11.326223634091129,72.591790000000003,10.761577569446882,17.733387956517351,11.946634699412199,6.2703382549423319
300,1723.63364,6.1708784109449422,289.2448,11.135204183130179,178.57652000000002,7.4348855552426354,83.949510000000004,10.511052118862528,16.781106685757187,10.360468480993445,4.870496145573024
500,2907.9044600000007,19.169117380318831,443.7722,12.57526946157064,252.06958,12.122706929358268,92.632289999999998,11.01052620121612,15.260893406381031,8.6684271600862672,3.1855341629759035
700,4279.2152900000001,114.12319750808716,615.21271000000002,16.629738376805552,330.56150000000002,15.723196972979474,108.44387999999999,17.799615409440733,14.376764624057978,7.7248158271560117,2.5342001430360375
1000,7148.4638500000001,209.52833330495886,925.87851000000012,19.253367951287551,514.63037000000008,27.549197699188998,146.09766999999999,13.071237516526287,12.952132506062824,7.1991742673497621,2.0437631505963338
