Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,167.928924,13.24686634,102.873941,9.346459921,30.626458,4.19686217,30.671342,4.128344465,61.26040622,18.23775039,18.26447837
15,248.513272,14.01522521,152.316177,11.39873787,37.590774,6.838226736,37.660399,6.931883778,61.29096276,15.12626416,15.15428077
20,328.871194,19.79985379,197.503859,14.31678181,44.990704,9.039063094,45.256239,9.186549345,60.05508011,13.68034198,13.76108331
30,501.483597,19.25469157,292.390448,16.77572539,59.484731,9.175520859,59.505023,9.26815665,58.3050871,11.86175009,11.86579648
50,874.005895,24.98611696,469.88337,18.64851222,88.89923,19.49991252,87.970395,19.73111513,53.7620367,10.17146801,10.0651947
70,1272.95657,41.95572521,632.305005,29.09811928,106.47505,12.61534191,103.330245,12.23168748,49.67215849,8.364389839,8.117342526
100,1873.03907,69.95210788,859.962275,35.61298639,161.526835,24.80796983,156.450245,23.49029424,45.91267149,8.623783539,8.352748616
150,2880.92467,79.46519702,1221.710035,50.88882485,226.079505,37.3496015,214.667115,36.62968043,42.40687192,7.847463259,7.451326903
200,3940.99506,56.24447744,1546.44819,37.24987862,303.85671,40.5703289,279.2512,40.79564365,39.24004386,7.710152014,7.085804365
300,6080.90295,48.21031504,2081.06985,62.56509916,457.66965,45.05483107,402.43191,35.86864766,34.22304002,7.5263436,6.617963044
500,10443.30476,58.14119992,3125.38396,73.3943509,739.68231,64.36270792,616.70225,53.94370563,29.92715459,7.08283754,5.905240383
700,14932.22781,90.91790005,3874.43037,155.9354317,1075.91507,65.8427237,867.63956,75.57149361,25.94676708,7.205321829,5.810516495
1000,22852.01207,279.1932963,4923.25996,164.9743372,1549.60829,105.2770899,1144.83567,96.57507225,21.54409837,6.781058426,5.009780611
